CODIGO SINADA,MEDIO DE RECEPCION,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA DE REGISTRO,ACTIVIDAD ECONOMICA,AGUA,AIRE,SUELO,FAUNA,FLORA,POBLACION,EFLUENTES,RESIDUOS SOLIDOS,GASES/HUMO,MATERIAL PARTICULADO,TALA,RADIACION NO IONIZANTE,FUENTE VISUAL,FUENTE SONORA,INDIRECTA/DIRECTA/MIXTA,ESTADO
SC-0716-2019,WEB,LIMA,LIMA,SANTA ANITA,17/07/2019,INDUSTRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0721-2019,TRA. DOCUMENTARIO,CUSCO,ESPINAR,ESPINAR,17/07/2019,MINERIA,1,0,0,0,1,1,0,1,0,0,0,0,0,0,MIXTA,CERRADA
SC-0722-2019,TRA. DOCUMENTARIO,TACNA,JORGE BASADRE,ITE,17/07/2019,MINERIA,1,0,1,1,1,1,1,0,0,0,0,0,0,0,MIXTA,CERRADA
SC-0728-2019,WEB,LA LIBERTAD,PACASMAYO,SAN JOSE,18/07/2019,TURISMO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0727-2019,WEB,ICA,NAZCA,MARCONA,18/07/2019,MINERIA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0726-2019,WEB,LIMA,LIMA,SAN BORJA,18/07/2019,TRANSPORTE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0725-2019,WEB,LIMA,LIMA,LA VICTORIA,18/07/2019,COMERCIO,0,1,0,0,0,1,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0724-2019,TRA. DOCUMENTARIO,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,18/07/2019,MINERIA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0730-2019,WEB,LIMA,HUAURA,SANTA MARIA,18/07/2019,INDUSTRIA,0,1,1,0,0,0,1,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0731-2019,TRA. DOCUMENTARIO,LIMA,LIMA,CHORRILLOS,18/07/2019,AGRICULTURA,0,1,0,0,0,1,0,1,0,0,0,0,0,1,DIRECTA,CERRADA
ODIC-0013-2019,PERSONAL,ICA,ICA,PARCONA,19/07/2019,SANEAMIENTO,1,0,0,0,1,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0739-2019,TRA. DOCUMENTARIO,LIMA,BARRANCA,PARAMONGA,19/07/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0738-2019,WEB,LIMA,LIMA,CHORRILLOS,19/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0737-2019,WEB,LIMA,HUAROCHIRI,SAN ANTONIO,19/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0736-2019,WEB,LIMA,LIMA,VILLA EL SALVADOR,19/07/2019,INDUSTRIA,0,1,0,0,0,1,0,0,1,0,0,0,0,1,DIRECTA,CERRADA
SC-0733-2019,WEB,LIMA,LIMA,LIMA,19/07/2019,INFRAESTRUCTURA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0732-2019,TRA. DOCUMENTARIO,LAMBAYEQUE,CHICLAYO,POMALCA,19/07/2019,SANEAMIENTO,0,1,0,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0734-2019,WEB,ICA,PISCO,SAN ANDRES,19/07/2019,SANEAMIENTO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0735-2019,WEB,LIMA,LIMA,PUNTA NEGRA,19/07/2019,SANEAMIENTO,1,0,1,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0743-2019,TRA. DOCUMENTARIO,LIMA,LIMA,JESUS MARIA,22/07/2019,HIDROCARBUROS,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0742-2019,TRA. DOCUMENTARIO,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,22/07/2019,SANEAMIENTO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0741-2019,WEB,LORETO,DATEM DEL MARAÑON,MANSERICHE,22/07/2019,HIDROCARBUROS,1,0,1,0,0,0,1,0,0,0,0,0,0,0,MIXTA,CERRADA
ODLL-0021-2019,TELEFONO,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,22/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
ODPI-0005-2019,PERSONAL,PIURA,MORROPON,SANTO DOMINGO,22/07/2019,INFRAESTRUCTURA,1,1,1,1,1,1,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0740-2019,TRA. DOCUMENTARIO,AREQUIPA,CARAVELI,QUICACHA,22/07/2019,MINERIA,0,1,1,0,0,0,0,1,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0751-2019,WEB,LIMA,LIMA,LURIN,23/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0749-2019,WEB,PIURA,PIURA,VEINTISEIS DE OCTUBRE,23/07/2019,FORESTAL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,INDIRECTA,CERRADA
SC-0748-2019,WEB,JUNIN,YAULI,MOROCOCHA,23/07/2019,TRANSPORTE,0,1,1,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0747-2019,WEB,ICA,PISCO,SAN ANDRES,23/07/2019,PESQUERIA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DIRECTA,ARCHIVADA
SC-0746-2019,WEB,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,23/07/2019,GANADERIA,1,0,1,0,0,0,1,1,0,0,0,0,0,0,MIXTA,CERRADA
SC-0745-2019,WEB,AREQUIPA,AREQUIPA,AREQUIPA,23/07/2019,COMERCIO,0,1,0,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0750-2019,TRA. DOCUMENTARIO,CUSCO,ESPINAR,COPORAQUE,23/07/2019,TRANSPORTE,1,1,0,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0752-2019,TRA. DOCUMENTARIO,PASCO,PASCO,SIMON BOLIVAR,23/07/2019,MINERIA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DIRECTA,CERRADA
ODMO-0010-2019,PERSONAL,MOQUEGUA,ILO,ILO,24/07/2019,SANEAMIENTO,1,0,1,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0759-2019,TRA. DOCUMENTARIO,ANCASH,SANTA,CHIMBOTE,24/07/2019,PESQUERIA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0758-2019,PERSONAL,LIMA,LIMA,LA VICTORIA,24/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0757-2019,WEB,CUSCO,CANAS,KUNTURKANKI,24/07/2019,INFRAESTRUCTURA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,MIXTA,CERRADA
ODAN-0006-2019,PERSONAL,ANCASH,HUAYLAS,PUEBLO LIBRE,24/07/2019,MINERIA,1,1,1,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
ODPI-0007-2019,PERSONAL,PIURA,PIURA,LAS LOMAS,24/07/2019,INFRAESTRUCTURA,0,1,1,0,0,0,0,1,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0756-2019,WEB,LIMA,HUAROCHIRI,SAN ANTONIO,24/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
